name:ID,:LABEL
BỆNH NỀN,DISEASESYMTOM
BỊ BỆNH BỤI PHỔI,DISEASESYMTOM
VIÊM PHỔI,DISEASESYMTOM
HỘI CHỨNG STEVEN-JOHNSON,DISEASESYMTOM
VẢY NẾN,DISEASESYMTOM
VIÊM GAN,DISEASESYMTOM
NGỨA,DISEASESYMTOM
NGỨA MẮT,DISEASESYMTOM
ĐAU ĐẦU,DISEASESYMTOM
HO KHAN,DISEASESYMTOM
TÂM THẦN,DISEASESYMTOM
RỐI LOẠN TIỀN ĐÌNH,DISEASESYMTOM
TRÀO NGƯỢC DẠ DÀY,DISEASESYMTOM
UNG THƯ MÁU,DISEASESYMTOM
TYPE 2,DISEASESYMTOM
GOUT,DISEASESYMTOM
HƠI Ố VÀNG,DISEASESYMTOM
TAI BIẾN MẠCH MÁU NÃO,DISEASESYMTOM
VIÊM MŨI DỊ ỨNG,DISEASESYMTOM
SƯNG TẤY,DISEASESYMTOM
TRẦM CẢM,DISEASESYMTOM
RỐI LOẠN,DISEASESYMTOM
TAI BIẾN,DISEASESYMTOM
VIÊM ĐA KHỚP XƯƠNG,DISEASESYMTOM
BỆNH VIÊM CỘT SỐNG DÍNH KHỚP,DISEASESYMTOM
PHÙ NỀ,DISEASESYMTOM
ĐAU CỨNG,DISEASESYMTOM
NGỘ ĐỘC,DISEASESYMTOM
VẾT THƯƠNG,DISEASESYMTOM
BẨM SINH,DISEASESYMTOM
SỐT,DISEASESYMTOM
BIẾN CHỨNG,DISEASESYMTOM
DI TRUYỀN,DISEASESYMTOM
VIRURS,DISEASESYMTOM
MẮC BỆNH,DISEASESYMTOM
DỊ DẠNG MẠCH MÁU NÃO,DISEASESYMTOM
MỠ MÁU,DISEASESYMTOM
NỔI,DISEASESYMTOM
TRĨ,DISEASESYMTOM
NẶNG MÙI,DISEASESYMTOM
RỐI LOẠN LIPID MÁU,DISEASESYMTOM
NỔI MỀ ĐAY,DISEASESYMTOM
MỌC HẠCH,DISEASESYMTOM
UNG THƯ,DISEASESYMTOM
KHÓ THỞ,DISEASESYMTOM
TIỀN ĐÌNH,DISEASESYMTOM
CHÀM DA,DISEASESYMTOM
BỆNH LÝ,DISEASESYMTOM
ĐÁI THÁO ĐƯỜNG,DISEASESYMTOM
MỆT MỎI,DISEASESYMTOM
VIÊM PHẾ QUẢN,DISEASESYMTOM
HEN PHẾ QUẢN,DISEASESYMTOM
BỊ BỆNH NỀN,DISEASESYMTOM
MỆT LẢ,DISEASESYMTOM
XUẤT HUYẾT DA DẠNG CHẤM,DISEASESYMTOM
NÓNG,DISEASESYMTOM
CO GIẬT,DISEASESYMTOM
BỊ BỆNH VẢY NẾN,DISEASESYMTOM
NHỒI MÁU CƠ TIM,DISEASESYMTOM
CẢM CÚM,DISEASESYMTOM
CHÓNG MẶT,DISEASESYMTOM
THOÁI HÓA CỘT SỐNG,DISEASESYMTOM
MỠ ĐỘ 2,DISEASESYMTOM
MẨN ĐỎ,DISEASESYMTOM
SỎI NIỆU QUẢN,DISEASESYMTOM
VIÊM DA CƠ ĐỊA,DISEASESYMTOM
BỆNH VIÊM GAN B,DISEASESYMTOM
VIÊM KHỚP,DISEASESYMTOM
VIRUS VIÊM GAN B,DISEASESYMTOM
NỔI MẨN ĐỎ,DISEASESYMTOM
NHIỄM MỠ,DISEASESYMTOM
VIÊM XOANG,DISEASESYMTOM
TĂNG HUYẾT ÁP,DISEASESYMTOM
SỔ MŨI,DISEASESYMTOM
XƠ VỮA,DISEASESYMTOM
TÊ TAY,DISEASESYMTOM
RÔM SẢY,DISEASESYMTOM
CO GIẬT BỦN RỦN,DISEASESYMTOM
VIÊM ĐẠI TRÀNG,DISEASESYMTOM
THALASSEMIA,DISEASESYMTOM
ĐAU NHÓI,DISEASESYMTOM
NGẠT MŨI,DISEASESYMTOM
RA MỒ HÔI LẠNH,DISEASESYMTOM
PHÙ,DISEASESYMTOM
QUAI BỊ,DISEASESYMTOM
SỎI MẬT,DISEASESYMTOM
GAN NHIỄM MỠ,DISEASESYMTOM
NHỊP TIM CHẬM PHẢN XẠ,DISEASESYMTOM
ĐAU HỌNG,DISEASESYMTOM
BỆNH LÝ HỞ,DISEASESYMTOM
CẢM LẠNH,DISEASESYMTOM
BỆNH TRUYỀN NHIỄM,DISEASESYMTOM
THOÁI HOÁ ĐỐT,DISEASESYMTOM
BƯỚU GIÁP,DISEASESYMTOM
NỔI SẦN,DISEASESYMTOM
BỆNH VẢY NẾN,DISEASESYMTOM
NHIỄM ĐỘC,DISEASESYMTOM
THOÁT VỊ ĐĨA ĐỆM,DISEASESYMTOM
MEN GAN,DISEASESYMTOM
SUY GIẢM MIỄN DỊCH,DISEASESYMTOM
DI ỨNG,DISEASESYMTOM
PHẾ QUẢN,DISEASESYMTOM
BÉO PHÌ,DISEASESYMTOM
NHỨC ĐẦU,DISEASESYMTOM
RỐI LOẠN NHỊP,DISEASESYMTOM
HOA MẮT,DISEASESYMTOM
TĂNG ĐÔNG MÁU,DISEASESYMTOM
VIÊM NGỨA,DISEASESYMTOM
NHIỄM KHUẨN,DISEASESYMTOM
CHỨNG TẬT KHÚC XẠ,DISEASESYMTOM
CHÀM,DISEASESYMTOM
THẤP KHỚP,DISEASESYMTOM
BỆNH XƯƠNG KHỚP,DISEASESYMTOM
ĐAU BỤNG,DISEASESYMTOM
NỔI HẠCH,DISEASESYMTOM
NỨT XƯƠNG,DISEASESYMTOM
VIRUS B,DISEASESYMTOM
DENGUE,DISEASESYMTOM
THOÁI HÓA ĐA KHỚP,DISEASESYMTOM
CỨNG CỔ,DISEASESYMTOM
HẮT HƠI,DISEASESYMTOM
THỪA CÂN,DISEASESYMTOM
SỐT XUẤT HUYẾT,DISEASESYMTOM
TIỂU SÓN,DISEASESYMTOM
DỊ ỨNG DA,DISEASESYMTOM
MẤT NGỦ,DISEASESYMTOM
ĐAU NHỨC ĐẦU,DISEASESYMTOM
TÊ BÌ,DISEASESYMTOM
Ợ NÓNG,DISEASESYMTOM
RỐI LOẠN GIẤC NGỦ,DISEASESYMTOM
RỐI LOẠN TRÍ NHỚ,DISEASESYMTOM
RỐI LOẠN MỠ MÁU,DISEASESYMTOM
KHÒ KHÈ,DISEASESYMTOM
UNG THƯ GIÁP,DISEASESYMTOM
BASEDOW,DISEASESYMTOM
TIỂU ĐÊM,DISEASESYMTOM
BUỒN ÓI,DISEASESYMTOM
ĐỘT QUỴ,DISEASESYMTOM
LAO,DISEASESYMTOM
SUY GIÁP,DISEASESYMTOM
ĐAU MẮT ĐỎ,DISEASESYMTOM
VI KHUẨN,DISEASESYMTOM
VI TRÙNG,DISEASESYMTOM
DỊ ỨNG MỀ ĐAY,DISEASESYMTOM
TẮC NGHẼN,DISEASESYMTOM
HỘI CHỨNG ĐUÔI NGỰA,DISEASESYMTOM
XUẤT HUYẾT,DISEASESYMTOM
ĐỘNG KINH TOÀN THÂN,DISEASESYMTOM
MỤN NƯỚC,DISEASESYMTOM
DÍNH KHỚP,DISEASESYMTOM
TIỂU RẮT,DISEASESYMTOM
CÓ ĐỜM,DISEASESYMTOM
BỆNH THẬN MẠN,DISEASESYMTOM
TỔN THƯƠNG DA,DISEASESYMTOM
BUỒN NÔN,DISEASESYMTOM
NỐT SẦN ĐỎ,DISEASESYMTOM
TĂNG MỠ MÁU,DISEASESYMTOM
ALZHEIMER,DISEASESYMTOM
"KHÔ, NGỨA",DISEASESYMTOM
VIÊM DA DỊ ỨNG,DISEASESYMTOM
BAN ĐỎ,DISEASESYMTOM
RUN,DISEASESYMTOM
GIÃN TĨNH MẠCH CHÂN,DISEASESYMTOM
RỐI LOẠN THẦN KINH TIM,DISEASESYMTOM
VIÊM LOÉT,DISEASESYMTOM
GIẢM HUYẾT ÁP,DISEASESYMTOM
TIỂU MÁU,DISEASESYMTOM
Ợ CHUA,DISEASESYMTOM
ĐAU TỨC NGỰC,DISEASESYMTOM
ĐAU NGƯỜI,DISEASESYMTOM
RỐI LOẠN LO ÂU,DISEASESYMTOM
SUY GIÃN TĨNH MẠCH,DISEASESYMTOM
SIÊU VI VIÊM GAN B,DISEASESYMTOM
NỔI MÀY ĐAY,DISEASESYMTOM
SƯNG PHÙ,DISEASESYMTOM
ĐAU RÁT HỌNG,DISEASESYMTOM
LAO MÀNG PHỔI,DISEASESYMTOM
THỞ RÍT,DISEASESYMTOM
SUY NHƯỢC CƠ THỂ,DISEASESYMTOM
VIÊM DA,DISEASESYMTOM
THIẾU,DISEASESYMTOM
BAN,DISEASESYMTOM
ĐA NANG,DISEASESYMTOM
NHẸ ĐẦU,DISEASESYMTOM
NGỨA HỌNG,DISEASESYMTOM
CÒI XƯƠNG,DISEASESYMTOM
UNG THƯ VÚ,DISEASESYMTOM
UNG THƯ DẠ DÀY,DISEASESYMTOM
NGỨA MẨN ĐỎ,DISEASESYMTOM
GIÃN PHẾ QUẢN,DISEASESYMTOM
VIRUS GAN B,DISEASESYMTOM
SỔ MŨI NƯỚC,DISEASESYMTOM
NỔI MẨN NGỨA,DISEASESYMTOM
TỨC NGỰC,DISEASESYMTOM
TRÀN DỊCH MÀNG PHỔI,DISEASESYMTOM
NGHẸT MŨI,DISEASESYMTOM
VIÊM DA TIẾP XÚC,DISEASESYMTOM
BỤNG KINH,DISEASESYMTOM
CĂNG CƠ,DISEASESYMTOM
NG RÁT,DISEASESYMTOM
VIÊM BÀNG QUANG KẼ,DISEASESYMTOM
LO ÂU,DISEASESYMTOM
BỆNH LAO,DISEASESYMTOM
BÙNG PHÁT,DISEASESYMTOM
TRIỆU CHỨNG HO,DISEASESYMTOM
CHẤN THƯƠNG,DISEASESYMTOM
NHỊP XOANG NHANH,DISEASESYMTOM
"ĐAU, NHỨC",DISEASESYMTOM
SƯNG,DISEASESYMTOM
YẾU,DISEASESYMTOM
HIV,DISEASESYMTOM
TIÊU CHẢY,DISEASESYMTOM
ĐẦY HƠI,DISEASESYMTOM
SUNG HUYẾT,DISEASESYMTOM
TỔN THƯƠNG,DISEASESYMTOM
TĂNG ÁP PHỔI,DISEASESYMTOM
ĐỎ MẮT,DISEASESYMTOM
VI-RÚT,DISEASESYMTOM
MẤT SỨC,DISEASESYMTOM
TÊ MỎI,DISEASESYMTOM
TÁO BÓN,DISEASESYMTOM
CỤC MÁU ĐEN,DISEASESYMTOM
VIÊM TAI,DISEASESYMTOM
TÁI PHÁT,DISEASESYMTOM
HỘI CHỨNG THẬN HƯ,DISEASESYMTOM
NGHẸT THỞ,DISEASESYMTOM
CỨNG HỌNG,DISEASESYMTOM
KHÓ NÓI,DISEASESYMTOM
RỐI LOẠN ĐÔNG MÁU,DISEASESYMTOM
SUY TIM,DISEASESYMTOM
TAI BIẾN MẠCH NÃO,DISEASESYMTOM
UỐN VÁN,DISEASESYMTOM
HO GÀ,DISEASESYMTOM
BẠCH HẦU,DISEASESYMTOM
VIÊM TÚI MẬT,DISEASESYMTOM
ĐAU MỎI,DISEASESYMTOM
KHÀN TIẾNG,DISEASESYMTOM
SUY NGHĨ NHIỀU,DISEASESYMTOM
DỊ ỨNG,DISEASESYMTOM
BONG VẢY,DISEASESYMTOM
BỊ BỆNH LÝ,DISEASESYMTOM
ANG,DISEASESYMTOM
MỜ MẮT,DISEASESYMTOM
CĂNG THẲNG,DISEASESYMTOM
VIÊM DA DẦU,DISEASESYMTOM
LOẠN NHỊP TIM,DISEASESYMTOM
THIẾU MÁU CỤC BỘ,DISEASESYMTOM
ĐAU QUẶN BỤNG,DISEASESYMTOM
RỐI LOẠN GEN,DISEASESYMTOM
NÔN MỬA,DISEASESYMTOM
TỤ MÁU,DISEASESYMTOM
TỤ MÁU CỤC,DISEASESYMTOM
CẢM NHIỄM,DISEASESYMTOM
BỆNH TẬT,DISEASESYMTOM
PHÙ MẶT,DISEASESYMTOM
NỔI SẨN MỀ ĐAY,DISEASESYMTOM
NỀN,DISEASESYMTOM
RUNG NHĨ,DISEASESYMTOM
BỆNH TAN,DISEASESYMTOM
RÁT,DISEASESYMTOM
ĐI TIỂU,DISEASESYMTOM
VẨY NẾN,DISEASESYMTOM
PHÌNH ĐỘNG MẠCH NÃO,DISEASESYMTOM
GIÃN TĨNH MẠCH THỪNG TINH,DISEASESYMTOM
PHÙ VÕNG MẠC,DISEASESYMTOM
DAI DẲNG,DISEASESYMTOM
IỆU CHỨNG MỀ ĐAY,DISEASESYMTOM
CHẢY MÁU,DISEASESYMTOM
GIÃN TĨNH MẠCH,DISEASESYMTOM
TĂNG THÔNG KHÍ,DISEASESYMTOM
NGỨA MẶT,DISEASESYMTOM
RÁT BỎNG,DISEASESYMTOM
CHÁN ĂN,DISEASESYMTOM
TĂNG ÁP ĐỘNG MẠCH,DISEASESYMTOM
COVID,DISEASESYMTOM
VIÊM KHỚP VẢY NẾN,DISEASESYMTOM
TÍM TÁI,DISEASESYMTOM
HƠI THỞ CÓ MÙI,DISEASESYMTOM
XUNG HUYẾT DA,DISEASESYMTOM
VI RÚT,DISEASESYMTOM
BỊ BỆNH CƯỜM NƯỚC,DISEASESYMTOM
RỐI LOẠN THẦN KINH,DISEASESYMTOM
LOẠN THẤT,DISEASESYMTOM
NẶNG NẶNG NGỰC,DISEASESYMTOM
ĐỘC GIÁP,DISEASESYMTOM
VIÊM NHIỄM,DISEASESYMTOM
YẾU SINH LÝ,DISEASESYMTOM
XƠ VỮA ĐỘNG MẠCH,DISEASESYMTOM
TÊ BUỒN,DISEASESYMTOM
SƯNG CUỐN,DISEASESYMTOM
BƯỚU CỔ,DISEASESYMTOM
RỐI LOẠN NHỊP TIM,DISEASESYMTOM
NỔI MẨN,DISEASESYMTOM
SÚT LƯNG,DISEASESYMTOM
TAI NẠN,DISEASESYMTOM
ĐÁNH TRỐNG NGỰC,DISEASESYMTOM
TIM ĐẬP NHANH,DISEASESYMTOM
HÍT THỞ NẶNG,DISEASESYMTOM
ĐAU NGỰC,DISEASESYMTOM
BONG TRỢT DA,DISEASESYMTOM
VIÊM ĐA XƯƠNG KHỚP,DISEASESYMTOM
KHẢN TIẾNG,DISEASESYMTOM
HAY BỊ CHOÁNG,DISEASESYMTOM
TIÊU,DISEASESYMTOM
THỦY ĐẬU,DISEASESYMTOM
NGỨA MŨI,DISEASESYMTOM
CO THẮT BỤNG,DISEASESYMTOM
ĐẠI TIỆN KHÔNG TỰ CHỦ,DISEASESYMTOM
LOANG ĐỎ,DISEASESYMTOM
PHÙ PHỔI,DISEASESYMTOM
CHƯỚNG BỤNG,DISEASESYMTOM
HẸP LỖ LIÊN HỢP,DISEASESYMTOM
TRIỆU CHỨNG NGỨA,DISEASESYMTOM
CHẢY NƯỚC MŨI,DISEASESYMTOM
PHÙ NIÊM,DISEASESYMTOM
BỆNH LÝ THỰC THỂ,DISEASESYMTOM
SUY GIẢM TRÍ NHỚ,DISEASESYMTOM
NỔI DA GÀ,DISEASESYMTOM
BUỒN NGỦ,DISEASESYMTOM
HIB,DISEASESYMTOM
CHƯỚNG CĂNG CỨNG,DISEASESYMTOM
SUY THẬN,DISEASESYMTOM
CHÀM NGỨA,DISEASESYMTOM
POLYPE,DISEASESYMTOM
SUY NGHĨ MIÊN MAN,DISEASESYMTOM
THÈM ĂN,DISEASESYMTOM
TÁC DỤNG PHỤ,DISEASESYMTOM
DỊ ỨNG SỨA,DISEASESYMTOM
ÁT BAN,DISEASESYMTOM
CHẢY MŨI,DISEASESYMTOM
NÓNG HẾT NGƯỜI,DISEASESYMTOM
ĐAU MỎI NGƯỜI,DISEASESYMTOM
BỊ BỆNH PHỔI,DISEASESYMTOM
THOÁI HÓA KHỚP,DISEASESYMTOM
NHIỄM TRÙNG,DISEASESYMTOM
MẤT VỊ GIÁC,DISEASESYMTOM
SƯNG MÍ,DISEASESYMTOM
TAN MÁU,DISEASESYMTOM
MẠCH ĐẬP NHANH,DISEASESYMTOM
MẨN NGƯỚI,DISEASESYMTOM
VIÊM THẬN,DISEASESYMTOM
CHOLESTEROL,DISEASESYMTOM
ÂU LO,DISEASESYMTOM
VIÊM THẬN MÃN,DISEASESYMTOM
NHỨC,DISEASESYMTOM
HPV,DISEASESYMTOM
GIẢM THỊ LỰC,DISEASESYMTOM
THOÁI HÓA XƯƠNG KHỚP,DISEASESYMTOM
RỐI LOẠN THỊ GIÁC,DISEASESYMTOM
VIÊM DA CƠ ĐỊA,DISEASESYMTOM
VIÊM CÂN,DISEASESYMTOM
MÉO MIỆNG,DISEASESYMTOM
NHỨC MỎI,DISEASESYMTOM
MÁU NHIỄM MỠ,DISEASESYMTOM
TÊ LIỆT DÂY THẦN KINH,DISEASESYMTOM
RỐI LOẠN TUẦN,DISEASESYMTOM
NGỨA TOÀN THÂN,DISEASESYMTOM
SUY PHỔI,DISEASESYMTOM
BẠI NÃO,DISEASESYMTOM
RỐI LOẠN DUNG NẠP ĐƯỜNG,DISEASESYMTOM
CHẢY NƯỚC,DISEASESYMTOM
CHẢY MÁU CAM,DISEASESYMTOM
ĐỔ MỒ HÔI LẠNH,DISEASESYMTOM
ĐAU BUỐT,DISEASESYMTOM
VIÊM TỤY CẤP,DISEASESYMTOM
CÓ VẤN ĐỀ VỀ TRÍ NHỚ,DISEASESYMTOM
BẠI LIỆT,DISEASESYMTOM
PHẢN ỨNG PHỤ,DISEASESYMTOM
ĐỎ NGỨA,DISEASESYMTOM
BỆNH LAO PHỔI,DISEASESYMTOM
TAI NẠN GIAO THÔNG,DISEASESYMTOM
NHẮM KHÓ,DISEASESYMTOM
NẶNG NGỰC,DISEASESYMTOM
CÓ VẾT ĐEN,DISEASESYMTOM
SUY TĨNH MẠCH,DISEASESYMTOM
SUY VAN TĨNH MẠCH SÂU,DISEASESYMTOM
MẮC BỆNH NỀN,DISEASESYMTOM
LIỆT NỬA NGƯỜI,DISEASESYMTOM
NG MẶT,DISEASESYMTOM
ĐAU THẮT NGỰC,DISEASESYMTOM
BỆNH,DISEASESYMTOM
RỐI LOẠN Ý THỨC,DISEASESYMTOM
BỆNH LÍ NỀN,DISEASESYMTOM
ÁP XE,DISEASESYMTOM
NỔI MẪN ĐỎ,DISEASESYMTOM
ĐAU RÁT,DISEASESYMTOM
CORONA,DISEASESYMTOM
BỊ BỆNH VẨY,DISEASESYMTOM
ÁC TÍNH,DISEASESYMTOM
NHỊP NHANH,DISEASESYMTOM
CÚM,DISEASESYMTOM
VIÊM MŨI,DISEASESYMTOM
HEN PHẾ QUẢN,DISEASESYMTOM
XƠ XẸP,DISEASESYMTOM
RỐI LOẠN TIÊU HÓA,DISEASESYMTOM
BỆNH TRÀN DỊCH,DISEASESYMTOM
NỨT NẺ,DISEASESYMTOM
BỆNH TỰ MIỄN,DISEASESYMTOM
LAO HẠCH,DISEASESYMTOM
THIẾU SỨC SỐNG,DISEASESYMTOM
SARS,DISEASESYMTOM
XUẤT HUYẾT NÃO,DISEASESYMTOM
HBV,DISEASESYMTOM
MẤT NƯỚC,DISEASESYMTOM
HOẠI TỬ,DISEASESYMTOM
HỘI CHỨNG,DISEASESYMTOM
Ợ HƠI,DISEASESYMTOM
MẨN NGỨA DA,DISEASESYMTOM
LÚ LẪN,DISEASESYMTOM
TĂNG ÁP,DISEASESYMTOM
PHỒNG RỘP,DISEASESYMTOM
NHỊP NHANH THẤT,DISEASESYMTOM
MẮC BỆNH LÝ,DISEASESYMTOM
DỊ ỨNG CƠ ĐỊA,DISEASESYMTOM
ĐỜM VÀNG,DISEASESYMTOM
TÚC NGỰC,DISEASESYMTOM
HỒI HỘP TIM ĐẬP MẠNH,DISEASESYMTOM
KHÓ PHÁT ÂM,DISEASESYMTOM
RỐI LOẠN CHỨC NĂNG,DISEASESYMTOM
Ả CÚM,DISEASESYMTOM
NÔN ÓI,DISEASESYMTOM
BỊ BỆNH VIÊM GAN B,DISEASESYMTOM
TỬ VONG,DISEASESYMTOM
BỘI NHIỄM,DISEASESYMTOM
SUY TUYẾN,DISEASESYMTOM
PHÙ NỀ MẶT,DISEASESYMTOM
NỔI BAN,DISEASESYMTOM
KỊCH PHÁT,DISEASESYMTOM
CĂNG THẲNG ĐẦU ÓC,DISEASESYMTOM
NGỦ ÍT,DISEASESYMTOM
SỐC,DISEASESYMTOM
NÓNG NGỰC,DISEASESYMTOM
VẾT ĐỎ,DISEASESYMTOM
KHÔ NỨT NẺ,DISEASESYMTOM
THỞ KHÒ KHÈ,DISEASESYMTOM
ĐỎ BỪNG,DISEASESYMTOM
HO RA ĐỜM,DISEASESYMTOM
XƠ VỮA MẠCH,DISEASESYMTOM
ĐAU GÂN,DISEASESYMTOM
GIẢM TRÍ NHỚ,DISEASESYMTOM
NG MẮT,DISEASESYMTOM
RỤNG NHIỀU,DISEASESYMTOM
KHÓ NGỦ,DISEASESYMTOM
YẾU ỚT,DISEASESYMTOM
MỤN CÓC,DISEASESYMTOM
CÓ MỦ,DISEASESYMTOM
NỔI MỤN,DISEASESYMTOM
BỊ BỆNH GAN,DISEASESYMTOM
MÀY ĐAY,DISEASESYMTOM
KHÔ TRÓC DA,DISEASESYMTOM
CHUỘT RÚT,DISEASESYMTOM
ĐỔ MỒ HÔI,DISEASESYMTOM
ĐÁNH TRỐNG LỒNG NGỰC,DISEASESYMTOM
VIÊM KẾT MẠC,DISEASESYMTOM
CẢM RÉT,DISEASESYMTOM
CO GIÃN TĨNH MẠCH,DISEASESYMTOM
Ù TAI,DISEASESYMTOM
ÂM Ỉ,DISEASESYMTOM
ĐI TIÊU,DISEASESYMTOM
VIÊM MÀNG BỒ ĐÀO,DISEASESYMTOM
NẶNG ĐẦU,DISEASESYMTOM
LI BÌ,DISEASESYMTOM
NHIỀU GÀU,DISEASESYMTOM
MẤT Ý THỨC,DISEASESYMTOM
SÚT CÂN,DISEASESYMTOM
BỆNH LÂY,DISEASESYMTOM
UNG THƯ HẠCH,DISEASESYMTOM
TỤT HUYÊT ÁP,DISEASESYMTOM
ĂN KÉM,DISEASESYMTOM
QUẤY KHÓC,DISEASESYMTOM
CO CỨNG,DISEASESYMTOM
HỘI CHỨNG RUỘT,DISEASESYMTOM
MỆT TIM,DISEASESYMTOM
HỘI CHỨNG WOLFF,DISEASESYMTOM
VẢY NẾN THỂ MỦ,DISEASESYMTOM
ĐAU BỤNG DƯỚI,DISEASESYMTOM
CO THẮT CƠ,DISEASESYMTOM
TRÀN KHÍ MÀNG,DISEASESYMTOM
"ẦY, NGỨA",DISEASESYMTOM
TRIỆU CHỨNG DA,DISEASESYMTOM
SỎI GAN,DISEASESYMTOM
TRIỆU CHỨNG SỐC,DISEASESYMTOM
RỐI LOẠN CHỨC NĂNG ĐÔNG MÁU,DISEASESYMTOM
KHIẾM THÍNH,DISEASESYMTOM
LOẠN SẢN,DISEASESYMTOM
NGỦ NGÁY,DISEASESYMTOM
LOẠN KHỨU GIÁC,DISEASESYMTOM
BỆNH NHỊP NHANH,DISEASESYMTOM
TÊ YẾU CHÂN,DISEASESYMTOM
PHÙ MẠCH TỰ PHÁT,DISEASESYMTOM
ZONA,DISEASESYMTOM
NGỪNG THỞ,DISEASESYMTOM
MỠ TRONG MÁU,DISEASESYMTOM
ĐẦY BỤNG,DISEASESYMTOM
UNG THƯ THANH QUẢN,DISEASESYMTOM
NHIỄM KHUẨN HUYẾT,DISEASESYMTOM
VIÊM TẤY HẠCH,DISEASESYMTOM
SIÊU VI,DISEASESYMTOM
NÓNG BỪNG,DISEASESYMTOM
TRÀO NGƯỢC,DISEASESYMTOM
ĐAU CỨNG CƠ,DISEASESYMTOM
XUẤT TINH SỚM,DISEASESYMTOM
DỊ ỨNG DA MẶT,DISEASESYMTOM
ĐAU LƯNG,DISEASESYMTOM
CĂNG CỨNG,DISEASESYMTOM
TRỐNG NGỰC ĐẬP MẠNH,DISEASESYMTOM
TIỀN SẢN GIẬT,DISEASESYMTOM
SUY HÔ HẤP,DISEASESYMTOM
RỐI LOẠN VỀ TRI GIÁC,DISEASESYMTOM
TÊ CỨNG,DISEASESYMTOM
CẤP MỦ,DISEASESYMTOM
ĐỔ NHIỀU,DISEASESYMTOM
VIÊM PHỔI TẮC NGHẼN,DISEASESYMTOM
MỤN ẨN,DISEASESYMTOM
TỤT HUYẾT ÁP,DISEASESYMTOM
CORONAVIRUS,DISEASESYMTOM
ĐÓNG VẢY,DISEASESYMTOM
NGỨA RÁT,DISEASESYMTOM
140,DISEASESYMTOM
BỆNH VIÊM KHỚP DẠNG THẤP,DISEASESYMTOM
MUỖI ĐỐT,DISEASESYMTOM
KHÔNG CẢM XÚC,DISEASESYMTOM
TRÍ NHỚ GIẢM SÚT,DISEASESYMTOM
MẠNH ĐẬP KHÔNG ỔN ĐỊNH,DISEASESYMTOM
KHÔ,DISEASESYMTOM
NHÌN MỜ,DISEASESYMTOM
BỊ BỆNH PHỔI TẮC NGHẼN,DISEASESYMTOM
THOÁI HOÁ CỘT SỐNG,DISEASESYMTOM
NGỨA NỔI MẪN ĐỎ,DISEASESYMTOM
SỤP MÍ,DISEASESYMTOM
YẾU SỨC,DISEASESYMTOM
VIÊM MÀNG,DISEASESYMTOM
NHỨC MŨI,DISEASESYMTOM
TIỂU BUỐT,DISEASESYMTOM
KHÔNG TỰ CHỦ,DISEASESYMTOM
HẸP MÔN VỊ,DISEASESYMTOM
HẠ HUYẾT ÁP,DISEASESYMTOM
GÃY XƯƠNG,DISEASESYMTOM
VIÊM MAO MẠCH,DISEASESYMTOM
CHẢY MỦ,DISEASESYMTOM
BỆNH LÝ VIÊM,DISEASESYMTOM
CHẢY DỊCH,DISEASESYMTOM
UNG THƯ VÒM HỌNG,DISEASESYMTOM
COPD,DISEASESYMTOM
LẠNH NGẮT,DISEASESYMTOM
RA MỒ HÔI,DISEASESYMTOM
